DATA MISURA;PRES. SUPERAM.;PARAMETRO;UNITA' MISURA;UBICAZIONE;LONGITUDINE;LATITUDINE;RETE;MEDIA GIORNALIERA;DATI INSUFF.;ATTIVO DAL;ATTIVO FINO AL;PARAM. ABBREV.;UBICAZ. ATT. DAL;UBICAZ. ATT. FINO AL
2005 January 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;80.70816;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;68.41676;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;61.82335;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;67.96906;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;62.39315;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 29;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;63.08503;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 30;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;61.41635;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 January 31;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;79.97555;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;92.79607;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;98.77899;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2005 February 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;65.12004;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
