DATA MISURA;PRES. SUPERAM.;PARAMETRO;UNITA' MISURA;UBICAZIONE;LONGITUDINE;LATITUDINE;RETE;MEDIA GIORNALIERA;DATI INSUFF.;ATTIVO DAL;ATTIVO FINO AL;PARAM. ABBREV.;UBICAZ. ATT. DAL;UBICAZ. ATT. FINO AL
2006 November 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;23.72812;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;15.54741;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;22.71062;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;21.97802;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.35612;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.16035;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;60.03255;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;60.43955;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;63.85836;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;50.50875;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;40.98494;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;36.75213;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;35.85673;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;44.56654;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;55.22995;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;57.26495;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;55.75905;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;34.26943;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;12.86121;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;34.31013;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.80992;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;9.36101;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;31.70532;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;35.97883;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;24.42002;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;36.46723;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;43.83394;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;40.49654;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 29;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;39.80463;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 November 30;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;40.29304;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;35.32763;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;45.70614;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;53.27635;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;51.28205;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.16035;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;36.71143;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.84452;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;15.46601;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;10.41921;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;8.09931;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;21.77452;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;42.81644;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;54.78225;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;60.80585;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.68945;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;56.57305;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;48.10744;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;9.15751;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;17.50101;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;32.39723;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.44362;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;26.00732;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;33.00773;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;36.83353;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;31.74602;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;21.61172;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;41.02563;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;72.73097;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 29;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;68.86446;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 30;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;46.19454;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2006 December 31;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;52.13674;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;54.98575;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;26.37362;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;37.15913;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;34.10663;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;55.92184;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 06;Vero;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;171.38781;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;89.58076;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;64.79446;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;65.77125;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;67.56206;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;57.95685;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;57.50915;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;45.25844;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;45.29914;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;47.41554;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;27.59462;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;43.30483;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;55.55555;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;54.49735;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;44.85144;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;45.86894;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;18.03011;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;11.43671;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;15.66951;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;16.03581;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.43141;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;37.72893;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;32.07163;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 29;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;56.61375;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 30;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;95.15666;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 January 31;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;60.11395;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;86.16196;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;71.55067;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;37.03703;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;35.16483;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;58.93365;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;50.42734;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.15873;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.39682;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.02442;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;22.66992;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;24.54212;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;26.00732;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.55352;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;30.44363;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;28.89703;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;33.08913;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;20.22791;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;17.13471;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;35.20553;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;42.04314;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;72.93447;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;37.11843;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 23;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;37.36263;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 24;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;31.58323;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 25;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;33.08913;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;14.65201;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;23.93162;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 February 28;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;24.42002;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 01;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;28.00162;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 02;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;35.12413;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 03;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;23.36182;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 04;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.76312;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 05;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;22.42572;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 06;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;27.67602;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 07;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;9.36101;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 08;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;14.08221;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 09;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;22.71062;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 10;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;13.55311;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 11;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;10.70411;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 12;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;22.30362;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 13;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.35612;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 14;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;26.49572;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 15;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;33.25193;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 16;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;41.63614;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 17;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;44.56654;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 18;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;32.84492;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 19;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;15.42531;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 20;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;7.97721;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 21;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;14.16361;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 22;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;13.83801;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 26;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;21.20472;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
2007 March 27;Falso;Particolato Totale Sosp.;ug/m3;Brugnera;12.53631;45.89865;Pordenone;25.19332;Falso;01/01/2004 12:00:00 AM;2010 August 01;PTS;2004 January 01;
