,provincia,time_idx,azoto_oraria_max,zolfo_giornaliera,ozono_8h_max,pm2dot5_giornaliera,pm10_giornaliera,relative_time_w,relative_time_y,relative_time_m
0,Gorizia,0.0,28.006272321428572,3.66125,53.6490625,16.647083333333335,18.015583095238096,1.0,2014.0,5.125
1,Gorizia,1.0,45.01867346938776,5.331904761904761,13.312857142857142,40.95976190476191,49.991548849206346,2.0,2014.0,1.0
2,Gorizia,2.0,45.63211734693878,4.936047619047619,40.54671428571429,22.282857142857146,29.16192816326531,3.0,2014.0,1.0
3,Gorizia,3.0,44.44646258503401,5.484761904761904,32.052523809523805,14.08095238095238,17.742073341836736,4.0,2014.0,1.0
4,Gorizia,4.0,30.148979591836735,4.187142857142857,57.219523809523814,14.944285714285714,17.136072244897957,5.0,2014.0,1.2857142857142858
5,Gorizia,5.0,39.30795918367347,4.3116666666666665,58.19357142857143,13.20142857142857,15.285696096938777,6.0,2014.0,2.0
6,Gorizia,6.0,53.97530612244898,4.156666666666667,59.96261904761905,10.417142857142858,13.221038214285715,7.0,2014.0,2.0
7,Gorizia,7.0,47.13302721088435,4.05647619047619,57.280952380952385,10.673809523809524,16.79493066326531,8.0,2014.0,2.0
8,Gorizia,8.0,44.99812925170068,4.381047619047619,74.70238095238095,14.450952380952382,17.094622704081633,9.0,2014.0,2.2857142857142856
9,Gorizia,9.0,34.16268707482993,4.873380952380953,74.87559523809523,17.619761904761905,20.821675,10.0,2014.0,3.0
10,Gorizia,10.0,50.105714285714285,5.262238095238096,106.15261904761904,31.48619047619048,37.51484989795919,11.0,2014.0,3.0
11,Gorizia,11.0,52.7302380952381,4.832571428571429,94.8002380952381,27.325714285714287,36.05528147959184,12.0,2014.0,3.0
12,Gorizia,12.0,44.85551020408163,4.327142857142857,85.86019047619048,12.117142857142856,14.351835663265307,13.0,2014.0,3.0
13,Gorizia,13.0,47.27897959183674,4.538523809523809,91.91538095238094,18.94857142857143,29.75786656462585,14.0,2014.0,3.857142857142857
14,Gorizia,14.0,36.80171428571428,4.4992857142857146,90.95738095238096,8.709999999999999,13.273109659863946,15.0,2014.0,4.0
15,Gorizia,15.0,27.13081632653061,4.600428571428572,85.67323809523809,7.439285714285715,9.372385340136054,16.0,2014.0,4.0
16,Gorizia,16.0,29.112755102040815,4.261904761904762,75.79904761904763,8.483809523809523,10.417772210884353,17.0,2014.0,4.0
17,Gorizia,17.0,27.51292517006803,4.516,76.34138095238096,9.700476190476191,12.157357040816326,18.0,2014.0,4.571428571428571
18,Gorizia,18.0,22.544285714285714,4.453095238095238,109.10233333333333,8.70452380952381,10.861536489795919,19.0,2014.0,5.0
19,Gorizia,19.0,25.834904761904763,5.175952380952381,87.36590476190476,4.302619047619047,6.136168775510204,20.0,2014.0,5.0
20,Gorizia,20.0,22.48772108843537,5.13452380952381,108.30761904761904,9.454285714285716,17.678624727891158,21.0,2014.0,5.0
21,Gorizia,21.0,24.868163265306123,5.853928571428571,92.83411904761905,6.703809523809523,9.029625891156462,22.0,2014.0,5.142857142857143
22,Gorizia,22.0,23.88530612244898,5.8961428571428565,123.3677142857143,10.558809523809524,13.536007006802722,23.0,2014.0,6.0
23,Gorizia,23.0,20.029761904761905,4.9615238095238094,116.24880952380953,10.21642857142857,15.08207738095238,24.0,2014.0,6.0
24,Gorizia,24.0,21.0,5.484571428571429,112.76625850340136,9.573333333333334,12.640167721088435,25.0,2014.0,6.0
25,Gorizia,25.0,21.615523809523808,5.797380952380953,101.6537074829932,8.851666666666667,12.604860510204082,26.0,2014.0,6.0
26,Gorizia,26.0,26.070809523809523,5.937809523809524,103.45153741496598,7.355238095238096,9.758923265306123,27.0,2014.0,6.857142857142857
27,Gorizia,27.0,18.363095238095237,5.939142857142857,94.03554421768708,5.883095238095238,8.62561081632653,28.0,2014.0,7.0
28,Gorizia,28.0,25.12904761904762,5.876809523809524,114.2869387755102,10.286666666666665,13.586683061224491,29.0,2014.0,7.0
29,Gorizia,29.0,23.808809523809522,5.70252380952381,90.0397006802721,8.287142857142857,11.747966734693877,30.0,2014.0,7.0
30,Gorizia,30.0,22.911190476190477,6.097047619047619,84.06582993197279,7.780952380952381,11.269542231292517,31.0,2014.0,7.428571428571429
31,Gorizia,31.0,21.718238095238096,6.186428571428571,106.12044217687074,9.215714285714286,12.256903877551022,32.0,2014.0,8.0
32,Gorizia,32.0,20.089714285714283,6.269761904761905,75.77534013605442,6.989285714285714,10.353641972789116,33.0,2014.0,8.0
33,Gorizia,33.0,19.85904761904762,5.732619047619048,81.90263265306122,6.13047619047619,8.252009659863946,34.0,2014.0,8.0
34,Gorizia,34.0,26.615023809523812,5.841095238095238,85.98853741496599,7.855238095238095,10.117856326530612,35.0,2014.0,8.0
35,Gorizia,35.0,28.19709523809524,5.558571428571428,63.14377551020408,9.567142857142857,14.679966734693878,36.0,2014.0,9.0
36,Gorizia,36.0,29.845,5.454285714285715,76.3934693877551,8.98452380952381,13.43999431972789,37.0,2014.0,9.0
37,Gorizia,37.0,28.509285714285713,5.625238095238095,76.8273469387755,11.422380952380951,17.139229149659865,38.0,2014.0,9.0
38,Gorizia,38.0,35.97312925170068,7.470380952380952,80.02738095238097,10.404285714285715,13.879804238095238,39.0,2014.0,9.0
39,Gorizia,39.0,30.223163265306123,5.635952380952381,73.57265306122449,12.42952380952381,16.229753265306123,40.0,2014.0,9.714285714285714
40,Gorizia,40.0,25.927013605442177,5.938095238095238,76.19755102040816,14.66404761904762,21.660663367346938,41.0,2014.0,10.0
